codigo,nombre,latitud,longitud,elevacion,comuna,region,primera_lectura
CEAZA-RPL,Rapel,-30.7228,-70.77249,862,Monte Patria,Coquimbo,2012-03-15 14:00
CEAZA-INILLA,Illapel,-31.64814,-71.19695,275,Illapel,Coquimbo,2011-01-01 0:00
CEAZA-MARPCH,Punta de Choros,-29.24724,-71.46797,7,La Higuera,Coquimbo,2011-01-04 11:00
CEAZA-LCAR,Las Cardas,-30.25145,-71.2569,282,Coquimbo,Coquimbo,2012-06-12 17:00
CEAZA-8,Pisco Elqui,-30.12903,-70.49471,1240,Paiguano,Coquimbo,2004-02-01 0:00
CEAZA-5,El Romeral,-29.75406,-71.25744,162,La Serena,Coquimbo,2004-02-01 0:00
CEAZA-4,El Panul,-29.99874,-71.39852,122,Coquimbo,Coquimbo,2004-03-29 17:00
CEAZA-3,Pan de Azúcar,-30.07465,-71.23895,135,Coquimbo,Coquimbo,2004-02-01 0:00
CEAZA-6,Vicuña,-30.03832,-70.69655,634,Vicuña,Coquimbo,2004-01-31 23:00
CEAZA-9,Gabriela Mistral,-29.97852,-71.08039,198,La Serena,Coquimbo,2004-02-01 0:00
CEAZA-UCNG,UCN Guayacan,-29.96663,-71.35284,1,Coquimbo,Coquimbo,2011-02-23 17:00
CEAZA-QS,Quebrada Seca,-30.49613,-71.49051,183,Ovalle,Coquimbo,2012-12-11 12:00
CEAZA-TLH,Talhuén,-30.59203,-71.24797,292,Ovalle,Coquimbo,2013-01-03 14:00
CEAZA-CHHT,Huintil,-31.57331,-70.99815,590,Illapel,Coquimbo,2010-04-13 17:00
CEAZA-LVD,Lavaderos,-30.3093,-70.62565,1462,Río Hurtado,Coquimbo,2013-01-22 15:00
CEAZA-LMBT,Los Molles - Bocatoma,-30.746,-70.41923,2543,Monte Patria,Coquimbo,2011-05-15 0:00
CEAZA-CAN,Canela,-31.39089,-71.41298,350,Canela,Coquimbo,2013-07-08 17:00
CEAZA-CHILL,Chillepín,-31.88563,-70.71395,887,Salamanca,Coquimbo,2013-07-09 14:00
CEAZA-LAGEL,La Laguna - Elqui,-30.20311,-70.03722,3209,Vicuña,Coquimbo,2013-06-05 21:00
CEAZA-CACH,Cachiyuyo,-29.0572,-70.90517,950,Vallenar,Atacama,2013-09-05 8:00
CEAZA-PICHA,Pichasca,-30.41323,-70.90277,670,Río Hurtado,Coquimbo,2013-08-13 16:00
CEAZA-COMB,Combarbalá Sur,-31.20022,-71.00015,1136,Combarbalá,Coquimbo,2013-10-16 17:00
CEAZA-PC,Punta Colorada,-29.35411,-71.03286,379,La Higuera,Coquimbo,2013-12-10 15:00
CEAZA-TPF,El Tapado,-30.1583,-69.90818,4306,Vicuña,Coquimbo,2013-11-21 20:00
CEAZA-MIN,Mincha Sur,-31.59425,-71.42159,50,Canela,Coquimbo,2013-07-23 17:00
CEAZA-ANDA,Collowara,-30.24875,-71.06526,1281,Andacollo,Coquimbo,2014-01-13 16:00
CEAZA-LSC,Universidad de La Serena,-29.91502,-71.24221,90,La Serena,Coquimbo,2014-07-08 12:00
CEAZA-TASC,Tascadero,-31.26295,-70.53999,3427,Monte Patria,Coquimbo,2012-11-27 6:00
CEAZA-LAGHU,Laguna Hurtado,-30.50903,-70.44594,2500,Río Hurtado,Coquimbo,2013-08-03 21:00
IEB-CNFJQ,Fray Jorge Quebrada,-30.65819,-71.66399,230,Ovalle,Coquimbo,2010-01-01 0:00
IEB-CNFJB,Fray Jorge Bosque,-30.64975,-71.68576,541,Ovalle,Coquimbo,2010-01-01 0:00
UPLA-SALH,Salar de Huasco,-20.25704,-68.87269,3804,Pica,Tarapacá,2015-09-25 0:00
CEAZA-HDC,Guandacol,-30.54363,-70.3329,2983,Río Hurtado,Coquimbo,2016-10-29 21:00
CEAZA-CGR,Cerro Grande,-29.93848,-71.22351,513,La Serena,Coquimbo,2015-08-05 15:00
CEAZA-EDER,Estero Derecho,-30.38407,-70.41286,3020,Paiguano,Coquimbo,2016-08-25 20:00
CEAZA-EPLV,El Polvo,-31.18314,-70.5848,2561,Monte Patria,Coquimbo,2017-11-15 13:00
UCONCE-DICHA,Dichato,-36.54483,-72.93268,0,Tomé,Biobío,2016-05-17 12:00
UCONCE-TRT,Tortel,-47.80361,-73.54117,0,Tortel,Aisén,2015-12-15 17:00
ANPROS-21318010,Concordia Medio,-18.360768,-70.293211,115,Arica,Arica y Parinacota,2019-01-02 11:00
ANPROS-21318009,La Violeta Open,-18.513323,-70.218336,199,Arica,Arica y Parinacota,2019-01-02 9:00
